0,(1435,545),200540
0,(1427,547),201537
0,(1419,549),202537
0,(1411,551),203538
0,(1403,553),204537
0,(1395,555),205525
0,(1385,557),206519
0,(1377,557),207523
0,(1369,559),208522
0,(1361,561),209520
0,(1351,563),210521
0,(1341,565),211521
0,(1333,567),212520
0,(1323,569),213521
0,(1313,569),214520
0,(1305,571),215518
0,(1299,573),216521
0,(1289,573),217521
0,(1279,575),218521
0,(1269,577),219520
0,(1259,579),220534
0,(1249,579),221526
0,(1237,581),222522
0,(1227,583),223519
0,(1215,585),224519
0,(1205,587),225520
0,(1193,587),226520
0,(1183,589),227520
0,(1171,591),228522
0,(1159,591),229521
0,(1149,593),230521
0,(1137,595),231522
0,(1123,595),232521
0,(1111,597),233521
0,(1099,597),234521
0,(1087,599),235522
0,(1075,599),236522
0,(1063,601),237521
0,(1051,603),238522
0,(1037,603),239523
0,(1025,603),240522
0,(1013,605),241526
0,(999,605),242523
0,(987,607),243523
0,(973,607),244523
0,(961,609),245518
0,(947,609),246523
0,(935,609),247523
0,(921,611),248523
0,(907,611),249524
0,(895,611),250524
0,(881,613),251523
0,(869,613),252524
0,(855,613),253524
0,(843,615),254527
0,(829,615),255525
0,(815,615),256525
0,(803,615),257525
0,(789,615),258525
0,(775,617),259526
0,(763,617),260526
0,(749,617),261530
0,(737,617),262526
0,(723,617),263527
0,(711,619),264525
0,(699,619),265526
0,(691,619),266526
0,(679,619),267526
0,(665,619),268527
0,(653,619),269572
0,(641,621),270527
0,(629,621),271526
0,(615,621),272526
0,(603,621),273528
0,(591,621),274529
0,(579,621),275528
0,(567,621),276529
0,(555,621),277529
0,(541,621),278528
0,(529,621),279528
0,(517,621),280532
0,(507,621),281528
0,(495,621),282528
0,(483,621),283530
0,(471,621),284528
0,(459,621),285528
0,(447,621),286528
0,(437,621),287529
0,(425,621),288529
0,(413,621),289528
0,(401,621),290528
0,(391,621),291529
0,(379,621),292529
0,(367,621),293529
0,(355,621),294529
0,(345,621),295529
0,(333,621),296531
0,(323,621),297531
0,(311,621),298532
0,(299,621),299530
0,(289,621),300531
0,(277,621),301531
0,(265,621),302551
0,(255,621),303546
0,(243,621),304540
0,(233,621),305539
0,(221,621),306538
0,(209,621),307538
0,(199,621),308539
0,(187,621),309539
0,(177,621),310539
0,(165,621),311542
0,(153,621),312539
0,(143,621),313540
0,(131,621),314543
0,(119,621),315540
0,(115,621),316540
0,(103,621),317540
0,(91,621),318540
0,(81,621),319540
0,(69,621),320540
0,(59,621),321539
0,(47,621),322539
0,(35,621),323541
0,(25,621),324540
0,(13,621),325539
0,(1,621),326539
0,(0,619),327540
0,(0,619),328532
0,(0,619),329533
0,(0,617),330541
0,(0,617),331534
0,(0,617),332533
0,(0,615),333541
0,(0,615),334537
0,(0,613),335558
0,(0,613),336550
0,(0,611),337558
0,(0,611),338550
0,(0,611),339551
0,(0,609),340565
0,(0,609),341553
0,(0,607),342561
0,(0,607),343546
0,(0,605),344561
0,(0,603),345561
0,(0,603),346553
0,(0,601),347561
0,(0,601),348554
0,(0,599),349562
0,(0,597),350560
0,(0,597),351552
0,(0,595),352560
0,(0,593),353551
0,(0,593),354552
0,(0,591),355560
0,(0,589),356567
0,(0,589),357555
0,(0,587),358560
0,(0,585),359560
0,(0,585),360575
0,(0,583),361559
0,(0,581),362546
0,(0,581),363557
0,(0,579),364558
0,(0,577),365558
0,(0,575),366558
0,(0,575),367554
0,(0,573),368563
0,(0,573),369556
0,(0,571),370560
0,(0,569),371559
0,(0,567),372551
0,(0,567),373558
0,(0,565),374560
0,(0,563),375561
0,(0,561),376560
0,(0,561),377557
0,(0,559),378561
0,(0,557),379564
0,(0,555),380563
0,(0,553),381545
0,(0,551),382535
0,(0,551),383529
0,(0,549),384535
0,(0,547),385533
0,(0,545),386533
0,(0,543),387538
0,(0,543),388529
0,(0,541),389534
0,(0,539),390534
0,(0,537),391535
0,(0,535),392533
0,(0,533),393534
0,(0,533),394568
0,(0,531),395535
0,(0,529),396535
0,(0,527),397535
0,(0,525),398536
0,(0,523),399535
0,(0,523),400530
0,(0,522),401533
0,(0,520),402535
0,(0,518),403534
0,(0,516),404535
0,(0,514),406539
0,(0,512),407560
0,(0,512),408534
0,(0,511),409538
0,(0,509),410536
0,(0,508),412539
0,(0,506),413553
0,(0,505),414539
0,(0,503),416542
0,(1,502),418539
0,(1,501),419556
0,(2,501),420538
0,(4,499),421537
0,(4,497),422540
0,(6,497),423536
0,(8,495),424536
0,(9,493),426539
0,(11,493),427543
0,(13,491),428538
0,(15,489),429542
0,(19,487),430540
0,(21,485),431540
0,(25,483),432540
0,(27,481),433540
0,(31,479),434540
0,(35,477),435541
0,(37,475),436542
0,(41,473),437540
0,(45,471),438538
0,(51,469),439538
0,(55,467),440540
0,(59,465),441539
0,(65,463),442538
0,(69,461),443543
0,(75,459),444540
0,(81,457),445540
0,(87,455),446540
0,(93,451),447539
0,(99,449),448538
0,(105,447),449542
0,(111,445),450547
0,(117,443),451520
0,(125,441),452542
0,(133,437),453540
0,(139,435),454540
0,(147,433),455541
0,(155,431),456541
0,(163,429),457546
0,(171,427),458542
0,(179,423),459541
0,(187,421),460546
0,(195,419),461543
0,(203,417),462545
0,(213,415),463546
0,(221,411),464548
0,(229,409),465546
0,(239,407),466547
0,(243,405),467544
0,(253,403),468546
0,(261,401),469545
0,(271,399),470546
0,(281,397),471550
0,(291,395),472543
0,(299,393),473543
0,(309,389),474546
0,(319,387),475546
0,(329,385),476548
0,(339,383),477547
0,(349,381),478551
0,(359,379),479547
0,(369,377),480564
0,(379,375),481564
0,(389,373),482545
0,(401,371),483550
0,(411,369),484551
0,(421,367),485553
0,(431,365),486558
0,(441,363),487550
0,(453,361),488550
0,(463,359),489549
0,(473,357),490547
0,(483,355),491550
0,(495,353),492554
0,(505,351),493544
0,(515,349),494551
0,(527,347),495550
0,(537,345),496550
0,(547,345),497669
0,(559,343),498549
0,(569,341),499553
0,(579,339),500553
0,(591,337),501558
0,(601,335),502544
0,(611,333),503551
0,(621,333),504551
0,(633,331),505551
0,(643,329),506553
0,(653,327),507567
0,(663,327),508552
0,(675,325),509551
